dataset,best_model,classifier,Epoch,Training Loss,Validation Loss,Validation Overall ACC,Validation F1 Macro,Kappa
agnews,distilbert,kan,1,1.070,0.712,0.807,0.804,0.743
agnews,distilbert,kan,2,0.646,0.517,0.847,0.845,0.796
agnews,distilbert,kan,3,0.516,0.448,0.859,0.857,0.811
agnews,distilbert,kan,4,0.462,0.410,0.868,0.867,0.824
agnews,distilbert,kan,5,0.429,0.383,0.877,0.876,0.836
dbpedia,distilbert,kan,1,1.998,1.203,0.809,0.810,0.795
dbpedia,distilbert,kan,2,1.009,0.625,0.932,0.932,0.927
dbpedia,distilbert,kan,3,0.613,0.397,0.955,0.955,0.951
dbpedia,distilbert,kan,4,0.427,0.285,0.963,0.963,0.960
dbpedia,distilbert,kan,5,0.323,0.220,0.970,0.971,0.968
imdb,distilbert,kan,1,0.671,0.567,0.756,0.756,0.513
imdb,distilbert,kan,2,0.554,0.494,0.801,0.801,0.603
imdb,distilbert,kan,3,0.499,0.455,0.814,0.813,0.628
imdb,distilbert,kan,4,0.473,0.422,0.828,0.828,0.655
imdb,distilbert,kan,5,0.447,0.413,0.831,0.830,0.662
papluca,distilbert,kan,1,2.550,1.840,0.710,0.711,0.695
papluca,distilbert,kan,2,1.466,1.028,0.957,0.957,0.955
papluca,distilbert,kan,3,0.863,0.621,0.976,0.976,0.974
papluca,distilbert,kan,4,0.550,0.410,0.984,0.983,0.983
papluca,distilbert,kan,5,0.381,0.294,0.986,0.986,0.985
sst5,bert,kan,1,1.714,1.585,0.284,0.235,0.065
sst5,bert,kan,2,1.605,1.508,0.330,0.271,0.121
sst5,bert,kan,3,1.547,1.442,0.369,0.290,0.164
sst5,bert,kan,4,1.499,1.409,0.389,0.313,0.199
sst5,bert,kan,5,1.463,1.376,0.406,0.339,0.221
trec,bart,kan,1,3.619,2.852,0.295,0.062,0.193
trec,bart,kan,2,3.047,2.534,0.383,0.094,0.316
trec,bart,kan,3,2.861,2.371,0.423,0.107,0.363
trec,bart,kan,4,2.698,2.282,0.436,0.115,0.377
trec,bart,kan,5,2.580,2.212,0.451,0.122,0.396
yelp,distilbert,kan,1,1.582,1.444,0.385,0.363,0.232
yelp,distilbert,kan,2,1.428,1.336,0.440,0.409,0.301
yelp,distilbert,kan,3,1.342,1.266,0.462,0.453,0.327
yelp,distilbert,kan,4,1.295,1.229,0.483,0.469,0.354
yelp,distilbert,kan,5,1.260,1.200,0.492,0.475,0.365
agnews,distilbert,mlp,1,1.396,1.339,0.334,0.262,0.120
agnews,distilbert,mlp,2,1.299,1.251,0.659,0.652,0.546
agnews,distilbert,mlp,3,1.222,1.174,0.781,0.778,0.708
agnews,distilbert,mlp,4,1.153,1.105,0.827,0.825,0.769
agnews,distilbert,mlp,5,1.086,1.043,0.836,0.834,0.781
dbpedia,distilbert,mlp,1,2.609,2.514,0.204,0.142,0.142
dbpedia,distilbert,mlp,2,2.437,2.359,0.506,0.482,0.468
dbpedia,distilbert,mlp,3,2.292,2.218,0.739,0.734,0.719
dbpedia,distilbert,mlp,4,2.157,2.087,0.829,0.825,0.816
dbpedia,distilbert,mlp,5,2.031,1.963,0.865,0.863,0.854
imdb,distilbert,mlp,1,0.689,0.678,0.638,0.631,0.278
imdb,distilbert,mlp,2,0.677,0.664,0.728,0.727,0.458
imdb,distilbert,mlp,3,0.663,0.652,0.760,0.758,0.522
imdb,distilbert,mlp,4,0.651,0.640,0.789,0.789,0.578
imdb,distilbert,mlp,5,0.641,0.629,0.795,0.794,0.591
papluca,distilbert,mlp,1,2.988,2.918,0.149,0.099,0.102
papluca,distilbert,mlp,2,2.875,2.802,0.393,0.392,0.359
papluca,distilbert,mlp,3,2.767,2.694,0.691,0.682,0.674
papluca,distilbert,mlp,4,2.666,2.591,0.818,0.813,0.808
papluca,distilbert,mlp,5,2.571,2.491,0.878,0.877,0.871
sst5,bert,mlp,1,1.593,1.567,0.289,0.148,0.032
sst5,bert,mlp,2,1.572,1.551,0.325,0.170,0.080
sst5,bert,mlp,3,1.561,1.539,0.348,0.182,0.111
sst5,bert,mlp,4,1.553,1.528,0.360,0.188,0.128
sst5,bert,mlp,5,1.542,1.518,0.374,0.197,0.147
trec,bart,mlp,1,3.783,3.460,0.096,0.009,0.005
trec,bart,mlp,2,3.391,3.168,0.226,0.017,0.104
trec,bart,mlp,3,3.185,3.020,0.200,0.018,0.033
trec,bart,mlp,4,3.069,2.921,0.208,0.021,0.043
trec,bart,mlp,5,2.981,2.843,0.254,0.042,0.109
yelp,distilbert,mlp,1,1.625,1.599,0.231,0.155,0.036
yelp,distilbert,mlp,2,1.595,1.579,0.330,0.321,0.162
yelp,distilbert,mlp,3,1.576,1.561,0.377,0.379,0.221
yelp,distilbert,mlp,4,1.563,1.545,0.407,0.404,0.259
yelp,distilbert,mlp,5,1.548,1.529,0.429,0.420,0.287